"","otu_id","W","detected_0.9","detected_0.8","detected_0.7","detected_0.6"
"1","Xk__Bacteria_p__Firmicutes_c__Bacilli_o__Lactobacillales_f__Enterococcaceae_g__Enterococcus__2dc1dae7438f41afb789fe8a3a433eac",4,FALSE,FALSE,FALSE,FALSE
"2","Xk__Bacteria_p__Firmicutes_c__Bacilli_o__Lactobacillales_f__Lactobacillaceae__unassigned_b96ea9e9b09900ccecf691bbceea9b83",4,FALSE,FALSE,FALSE,FALSE
"3","Xk__Bacteria_p__Firmicutes_c__Bacilli_o__Lactobacillales_f__Lactobacillaceae__unassigned_fea6f0f65bf2e94ebff13b253d142072",5,FALSE,FALSE,FALSE,TRUE
"4","Xk__Bacteria_p__Firmicutes_c__Bacilli_o__Lactobacillales_f__Lactobacillaceae_g__Lactobacillus__c968e760232bc409d8b2f69661888e32",5,FALSE,FALSE,FALSE,TRUE
"5","Xk__Bacteria_p__Firmicutes_c__Bacilli_o__Lactobacillales_f__Lactobacillaceae_g__Lactobacillus_s__brevis_162bdb2c7b5934c8bfddada185f8a786",3,FALSE,FALSE,FALSE,FALSE
"6","Xk__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__Rhodospirillales_f__Acetobacteraceae_g__Acetobacter_s__unassigned_5877dadce57b3bd826fe6bfa04a97b56",0,FALSE,FALSE,FALSE,FALSE
"7","Xk__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__Rhodospirillales_f__Acetobacteraceae_g__Acetobacter_s__unassigned_c35bc9806adc8b858466c744cc35b1e5",2,FALSE,FALSE,FALSE,FALSE
"8","Xk__Bacteria_p__Proteobacteria_c__Gammaproteobacteria_o__Enterobacteriales_f__Enterobacteriaceae__unassigned_2381ea10d7e07f0c342a68a1eb070c8b",2,FALSE,FALSE,FALSE,FALSE
"9","Xk__Bacteria_p__Proteobacteria_c__Gammaproteobacteria_o__Pasteurellales_f__unassigned_g__unassigned_s__unassigned_fac07b2893c7b432c5c424ca5ea83548",1,FALSE,FALSE,FALSE,FALSE
