"","otu_id","W","detected_0.9","detected_0.8","detected_0.7","detected_0.6"
"1","Xk__Bacteria_p__Firmicutes_c__Bacilli_o__Lactobacillales_f__Enterococcaceae_g__Enterococcus__2dc1dae7438f41afb789fe8a3a433eac",2,FALSE,FALSE,FALSE,FALSE
"2","Xk__Bacteria_p__Firmicutes_c__Bacilli_o__Lactobacillales_f__Lactobacillaceae__unassigned_74543c864b9ce6cb7bce59303a0ce289",0,FALSE,FALSE,FALSE,FALSE
"3","Xk__Bacteria_p__Firmicutes_c__Bacilli_o__Lactobacillales_f__Lactobacillaceae__unassigned_b96ea9e9b09900ccecf691bbceea9b83",1,FALSE,FALSE,FALSE,FALSE
"4","Xk__Bacteria_p__Firmicutes_c__Bacilli_o__Lactobacillales_f__Lactobacillaceae_g__Lactobacillus_s__brevis_162bdb2c7b5934c8bfddada185f8a786",3,FALSE,FALSE,TRUE,TRUE
"5","Xk__Bacteria_p__Proteobacteria_c__Gammaproteobacteria_o__Enterobacteriales_f__Enterobacteriaceae__unassigned_2381ea10d7e07f0c342a68a1eb070c8b",1,FALSE,FALSE,FALSE,FALSE
