	ace
G1-123	16.0
G1-124	20.0
G1-153	8.0
G1-154	7.0
G1-155	9.0
G1-156	5.0
G1-17	10.0
G1-18	10.0
G3-61	21.0
G3-62	21.0
G3-63	20.0
G3-64	18.0
G3-65	20.0
G3-66	19.0
G3-710	10.0
G3-711	9.0
G3-712	9.0
G3-77	10.0
G3-78	8.0
G3-79	7.0
